baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
-1.4922,-2.6922,-2.5294,-10.119399999999999,0.7873600000000001,-2.8655199999999996
-1.4922,-2.7022000000000004,-2.3312000000000004,-9.841199999999999,0.77654,-2.79512
-1.3329999999999997,-2.563,-2.2926,-9.7526,0.75496,-2.58512
-1.35824,-2.63824,-2.4908,-9.8808,0.8026400000000001,-2.5158000000000005
-1.35884,-2.6488400000000003,-2.2938,-9.6438,0.79404,-2.6788
-1.13416,-2.4341600000000003,-2.2934,-9.5834,0.74696,-2.5962
-1.1004800000000001,-2.4204800000000004,-2.4756000000000005,-9.865599999999999,0.8101999999999999,-2.64644
-0.9241199999999999,-2.26412,-2.4488000000000003,-9.808800000000002,0.816,-2.69904
-0.88926,-2.21926,-2.6726,-10.1026,0.80628,-2.4997399999999996
-0.7190200000000001,-2.05902,-2.6832000000000007,-10.1432,0.8004399999999999,-2.49582
-0.7110600000000002,-2.05106,-2.5016000000000003,-9.7416,0.78786,-2.48814
-0.6911799999999999,-2.0511799999999996,-2.47,-9.720000000000002,0.76276,-2.6281399999999997
-0.47548,-1.79548,-2.4204000000000003,-9.640400000000001,0.56696,-2.52854
-0.5294799999999998,-1.84948,-2.221,-9.401,0.59588,-2.51126
-0.32836000000000004,-1.6783599999999999,-1.9990000000000003,-9.139,0.65476,-2.4718199999999997
-0.35228000000000004,-1.6922799999999998,-1.7766,-8.8566,0.6296,-2.2710199999999996
